task_kind;abbreviation;topic;deadline;task_coef;comments
PR;ПР1;Моделирование двухмерной балки;14.03.2020;10;
PR;ПР2;Моделирование трехмерной балки;28.03.2020;10;
PR;ПР3;Моделирование поворотных петель;25.04.2020;10;
SECTION;РГР2_ч1;Моделирование элементов РШР;09.05.2020;10;
SECTION;РГР2_ч2;Моделирование узла РШР;09.05.2020;10;
SECTION;РГР2_ч3;Расчет поперечной сдвижки РШР;23.05.2020;10;
RGR;РГР2;Расчет поперечной сдвижки РШР в ПО ABAQUS;23.05.2020;10;
ALLOW;ДОП;Допуск;31.05.2020;0;
EXAM;ЭКЗ;Экзамен;30.06.2020;0;
;;;;;
;;;;;
